Source;Category
________________Child Health Safety_________________;personal
@berkleywellness;news
21st Century Wire;news
ABC News;news
Activist Post;news
AGE OF AUTISM;misc
Ars Technica;news
Atlas Monitor;personal
avn.org.au;personal
Backyard Secret Exposed;personal
Banning-Beaumont CA Patch;news
BBC News;news
biology.stackexchange.com;personal
blogs.cdc.gov;healthinfo
California Healthline;healthinfo
Carrington;personal
chicagotribune.com;personal
Church Law & Tax;news
cid.oxfordjournals.org;journal
CIDRAP;healthinfo
CNN;news
Collective Evolution;news
content.healthaffairs.org;journal
Couples Resorts Message Board;personal
Daily Intelligencer;news
drsuzanne.net;personal
emergency.cdc.gov;healthinfo
en.wikipedia.org;misc
Epilepsy Foundation;personal
Fox News;news
GGD Amsterdam;healthinfo
Gizmodo;misc
Global Freedom Movement;personal
Global News;news
Health Impact News;misc
healthycanadians.gc.ca;healthinfo
HealthyChildren.org;healthinfo
Heavy.com;news
Hepatitis B Foundation;healthinfo
Immunisation Advisory Centre;healthinfo
info.cmsri.org;healthinfo
Infowars;news
International Medical Council on Vaccination;healthinfo
justthevax.blogspot.nl;personal
Kelly Brogan MD;personal
Kid Nurse;personal
KXAN.com;misc
latimes.com;news
LDI;personal
Leesburg Vet Blog;misc
LifeSiteNews;news
Live Science;news
Mayo Clinic;healthinfo
medlineplus.gov;healthinfo
mirror;news
Modern Alternative Health;personal
mom.me;personal
nation19.com;misc
National Vaccine Information Center (NVIC);healthinfo
Natural Health 365;news
NaturalNews;news
NaturalNewsBlogs;personal
Nature News & Comment;news
NBC News;news
news.nationalgeographic.com;news
NewsComAu;news
Newstarget.com;misc
NPR.org;news
NY Daily News;news
oredigger.net;news
Parents;misc
patient.info;healthinfo
PBS NewsHour;news
Petful;misc
POLITICO;news
PolitiFact;news
POPSUGAR Moms;personal
PublicHealth.org;news
reasonable hank;personal
Respectful Insolence;personal
Reuters;news
Science | AAAS;news
Science 2.0;personal
Science News for Students;news
Science News;news
Science-Based Medicine;healthinfo
Scientific American;journal
SELF;news
sharylattkisson.com;personal
Skeptical Raptor;personal
State of Health;news
Stop Mandatory Vaccination;personal
The Cat Site;misc
The Conversation;personal
The EverGreen Center;personal
The Forum at Harvard T. H. Chan School of Public Health;misc
the Guardian;news
The Independent;news
The People's Chemist;misc
The West Australian;news
ThinkProgress;news
Travel Ready MD;healthinfo
Travel.gc.ca;healthinfo
Travelfish;personal
Truth4Dogs;misc
UPMC & Pitt Health Sciences News Blog;news
Vaccine Impact;news
vaccine-injury.info;misc
vaccinepapers.org;personal
Vaccines News;misc
VacTruth.com;personal
Variety;news
VaxTruth.org;personal
Veazie Vet;misc
vk.ovg.ox.ac.uk;healthinfo
Voices For Vaccines;personal
Washington Post;news
WebMD;healthinfo
Whattoexpect;healthinfo
WIRED;news
wonkette.com;news
WordReference Forums;misc
World Economic Forum;news
World Health Organization;healthinfo
www.acsh.org;news
www.aids.gov;healthinfo
www.betterhealth.vic.gov.au;healthinfo
www.butterflybirth.com;personal
www.cdc.gov;healthinfo
www.dogsnaturallymagazine.com;misc
www.euro.who.int;healthinfo
www.fda.gov;misc
www.fiercepharma.com;news
www.fitfortravel.nhs.uk;healthinfo
www.fitfortravel.scot.nhs.uk;healthinfo
www.fodors.com;personal
www.globalresearch.ca;healthinfo
www.greenmedinfo.com;personal
www.health.gov.on.ca;healthinfo
www.health.ny.gov;healthinfo
www.healthtalk.org;personal
www.hepb.org;healthinfo
www.historyofvaccines.org;healthinfo
www.huffingtonpost.com;news
www.immunise.health.gov.au;healthinfo
www.immunize.ca;healthinfo
www.immunize.org;healthinfo
www.immunizeforgood.com;healthinfo
www.influenzareport.com;healthinfo
www.jabs.org.uk;misc
www.mbah.state.ms.us;misc
www.nap.edu;misc
www.nature.com;journal
www.ncbi.nlm.nih.gov;journal
www.netmums.com;personal
www.nhs.uk;healthinfo
www.nytimes.com;news
www.petmd.com;misc
www.phac-aspc.gc.ca;healthinfo
www.pregnancyforum.co.uk;personal
www.rivm.nl;healthinfo
www.thehealthyhomeeconomist.com;misc
www.thinktwice.com;personal
www.tmb.ie;healthinfo
www.tripadvisor.com;personal
www.tripadvisor.com.au;personal
www.unicef.org;misc
www.uptodate.com;healthinfo
www.usnews.com;news
www.vaccinateyourbaby.org;healthinfo
www.vaccineinformation.org;healthinfo
www.vaccines.gov;healthinfo
www.vaccinestoday.eu;personal
www.vernoncoleman.com;personal
www.virology.ws;personal
www.who.int;healthinfo
www.yahoo.com;news
